ResponseId,StartDate,Progress,Duration (in seconds),LocationLatitude,LocationLongitude,visitor,1_6_TEXT,2,2_15_TEXT,project_type,is_existing,school_name,new_school,7,8,9,9_2_TEXT,10,11,12_1,13,14,15,16,17_1,18,19,20,20_5_TEXT,21,21_4_TEXT,22,23,24,25,25_2_TEXT,26_1,27,28,29,29_6_TEXT,30,31,32,33_1,34,35_1,36,37,37_4_TEXT,38,39,40,41,41_5_TEXT,42,43,44,44_3_TEXT,45,46,47,48,49#1_1_1,49#1_1_2,49#1_2_1,49#1_2_2,49#1_3_1,49#1_3_2,49#1_4_1,49#1_4_2,49#1_5_1,49#1_5_2,49#1_6_1,49#1_6_2,49#2_1_1,49#2_1_2,49#2_2_1,49#2_2_2,49#2_3_1,49#2_3_2,49#2_4_1,49#2_4_2,49#2_5_1,49#2_5_2,49#2_6_1,49#2_6_2,50,50_3_TEXT,51,52,53,54,55,56,57,58,59,59_4_TEXT,60,61,62,63,64,65_1,66,67,project_date
R_5Ax2r6UyiHSCQyR,1/26/2026 13:15:58,100,79,40.3598,-111.7304,Isaac,NA,NA,NA,Electricity Generating MGR Installation,"Yes, this is not the first project we have done at this school.",Adenya,NA,NA,NA,Yes,Roberts Family Foundation,Yes,Attabui,17,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-01-26
R_5C2tlplWCQBl9zj,1/26/2026 13:17:22,100,69,40.3598,-111.7304,Isaac,NA,NA,NA,Non-Generating MGR Installation,"No, this is our first time doing any EPI project at this school.",Ddada,Ddada,202,35 w 21 n,No,NA,NA,NA,NA,NA,NA,"No, they have never had a generating MGR at this school",Playworld,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-01-26
R_5Kwncxr6n6dUFqL,1/26/2026 13:18:34,100,25,40.3598,-111.7304,Isaac,NA,NA,NA,Solar Project for Lanterns Specifically (No MGR),"Yes, this is not the first project we have done at this school.",Adenya,NA,NA,NA,No,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-01-26
R_5HFyUlgeBVSJL8W,1/26/2026 13:19:02,100,34,40.3598,-111.7304,Alex,NA,NA,NA,Solar Project (not for lanterns),"Yes, this is not the first project we have done at this school.",Akwanserem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,teacher bungalow,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-01-26
R_5kMqZ2aKWw5O0h3,1/26/2026 13:19:39,100,97,40.3598,-111.7304,Alex,NA,NA,NA,"Computer Lab,RACHEL Device","No, this is our first time doing any EPI project at this school.",Abrenya,abrenya,2,1,No,NA,NA,NA,NA,NA,NA,NA,NA,12,Yes,123456,Desks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-01-26
R_5ZK1fndMYTN5hdv,1/26/2026 13:33:16,100,38,40.3598,-111.7304,Richard,NA,"Richard,Peace",NA,Starlink,"No, this is our first time doing any EPI project at this school.",a,a,a,a,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,"Yes, we removed a RACHEL but it WAS NOT functioning well",sa,sa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-01-26
R_57saKu0MVYTY2YS,1/26/2026 13:33:58,100,116,40.3598,-111.7304,Alex,NA,No one,NA,"Building Construction,Science Kit Distribution,Menstrual Kit Distribution","Yes, this is not the first project we have done at this school.",Abrenya,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Teacher Bungalow,NA,4,1/21,2/23,5,Yes,12,1,"Students,Teachers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-01-26
R_5vjFn00SmJQE2Vi,1/30/2026 10:17:30,100,72,40.3598,-111.7304,Isaac,NA,"Alex,Richard",NA,Electricity Generating MGR Installation,"No, this is our first time doing any EPI project at this school.",Apaah,Apaah,200,"1, 2",Yes,Alexis omman,Yes,Dedenya,24,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2026-01-30
R_ojIP2onJEpc9WXQ,2/2/2026 3:39:59,100,69,5.986266,0.357301,Richard,NA,NA,NA,Starlink,"Yes, this is not the first project we have done at this school.",Luta,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-02-02
R_hsx8aFlHyPnpgT7,2/20/2026 10:48:33,100,56,5.692089,-0.144889,Alex,NA,"Akuvi,Peace",NA,GROW Project,"Yes, this is not the first project we have done at this school.",Anamenampa,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, they library was provided by EPI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-02-20
