school_name,Region,EPI Start Year,Latitude,Longitude,MGR,Non-Generating MGR,Feminine Hygiene Kits,Science Kits,Library,Computer,Construction Projects,Boreholes,Solar Power,Biofill Toilets,Light a Village,n_visits,n_responses,pct_lantern,pct_library,pct_menstrual,pct_computers,n_issues
Abrenya,Eastern,2012,6.324242861,-0.583628271,1,0,1,1,0,0,1,1,0,0,0,6,146,0.6027397260273972,0.11320754716981132,0.7352941176470589,0,1
Adenya,Eastern,2010,5.965312,-0.175099,1,0,1,1,1,0,0,0,0,0,0,13,145,0.6689655172413793,0.578125,0.6296296296296297,0,4
Ador Kope R/C Primary,Greater Accra,2019,7.114074,0.125415,1,0,1,1,0,1,0,0,1,0,0,1,23,0.7391304347826086,1,1,NA,0
Afransua Dedewa MA Primary,Eastern,2014,5.945836,-0.326155,1,0,1,1,0,1,2,1,0,0,0,13,49,0.3673469387755102,0.17647058823529413,0.5,1,4
Akwanserem,Eastern,2024,6.3915879,-0.3794522,1,0,1,1,0,0,0,0,0,0,0,5,19,0.9473684210526315,0,1,0.05263157894736842,1
Akwansu,Eastern,2019,5.9237,-0.250044,1,0,1,1,0,0,0,0,0,0,0,13,27,0.37037037037037035,0,0.2,0,3
Akyeremanteng,Eastern,2010,6.169539,-0.198325,1,0,1,1,0,0,0,0,0,0,0,2,93,0.6129032258064516,0.12698412698412698,0.6363636363636364,0,0
Alorkpem Island,Greater Accra,2010,5.794063455,0.647504764,1,0,1,1,1,1,0,0,1,0,0,5,119,0.7008547008547008,0.578125,0.7407407407407407,1,3
Amuyaokope,Greater Accra,2010,5.952769,0.370543,1,0,1,1,0,1,0,1,0,0,0,8,90,0.3111111111111111,0.5061728395061729,0.28,1,4
Anamenampa,Eastern,2010,5.8826332,-0.2618769,1,0,1,1,0,0,0,0,0,0,0,7,10,1,NA,0.6666666666666666,0,2
Anateem Sumbrungu,Eastern,2011,10.826496,-0.975049,1,0,1,1,0,0,0,0,0,0,0,4,21,0.19047619047619047,0.47619047619047616,0.8571428571428571,NA,1
Apaah,Eastern,2025,6.416,-0.436,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
Ataampuutum A/B,Upper East,2011,10.846948,-0.92541,1,0,1,1,0,0,0,0,0,0,0,2,18,0.5555555555555556,0.6666666666666666,0.5333333333333333,NA,0
Attabui,Eastern,2011,5.973529,-0.215901,1,0,1,1,1,1,1,1,0,0,0,8,207,0.24154589371980675,0.8260869565217391,0.5918367346938775,1,4
Azizakpem,Greater Accra,2012,5.783769,0.659856,1,0,1,1,0,0,0,0,0,0,0,1,33,0.8484848484848485,1,0,NA,0
Bahankra,Ashanti,2013,6.863119,-1.134764,1,0,1,1,1,0,2,1,0,1,0,10,170,0.6845238095238095,0.8125,0.8269230769230769,0,2
Begoro,Eastern,2023,6.3928,-0.383,0,0,0,0,0,1,0,0,0,0,0,2,0,NA,NA,NA,NA,1
Bepotumtum,Eastern,2013,6.368032383,-0.096746881,1,0,1,1,1,1,0,1,0,0,0,4,141,0.5460992907801419,0.49122807017543857,0.53125,1,1
Bomigo,Eastern,2013,5.814691,0.728023,1,0,1,1,1,1,0,0,0,0,0,1,6,1,0,1,NA,0
Community 3,Western,2015,5.097438,-1.956198,1,0,1,1,1,0,1,0,0,0,0,3,22,0.8181818181818182,0.85,0,NA,0
Community 9,Western,2015,5.101386,-1.910758,1,0,1,1,0,0,1,0,0,0,0,4,41,0.8536585365853658,0.13157894736842105,0,NA,0
Dagomba,Ashanti,2013,7.019188,-1.117714,1,0,1,1,1,1,0,1,0,0,0,8,181,0.6243093922651933,0.6274509803921569,0.8235294117647058,1,2
Dedenya,Greater Accra,2008,5.857177342,0.049015377,0,1,1,1,0,1,0,0,0,0,0,8,50,0,0.12,0.3333333333333333,1,4
Dedewa,Greater Accra,2008,NA,NA,1,0,1,1,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,0
Domase,Ashanti,2010,6.865585,-1.216795,1,0,1,1,0,0,1,1,0,0,0,7,19,0.8421052631578947,0.2631578947368421,0.8333333333333334,0,1
Ebourso,Bono East,2019,7.547051811,-1.198753976,1,0,0,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,0
Ekorso Akwadum,Eastern,2012,6.303682,-0.725009,1,0,1,1,1,1,0,0,0,0,0,9,197,0.17801047120418848,0.7766990291262136,0.5,0.9545454545454546,1
Essam,Eastern,2008,6.018182,-0.975634,1,0,1,1,0,0,1,0,0,0,0,3,55,0.2,0.8148148148148148,0.07142857142857142,0,0
Fanterila,Mali,2008,11.359305,-6.041992,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
Fawotrikosie,Eastern,2016,5.961812,-0.537674,1,0,1,1,1,1,2,1,0,0,0,8,122,0.1557377049180328,0.8507462686567164,0.5263157894736842,1,3
Ferekoroba,Mali,2015,11.959291,-7.862025,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
Galalia,Eastern,2014,6.691096,0.09821,1,0,1,1,0,0,1,0,0,0,0,0,16,1,0.125,0.3333333333333333,NA,0
Gloucester R.E.C. (Sierra Leone),NA,2025,8.431133,-13.222986,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
Gourcy Burkina Faso School,Burkina Faso,2017,13.219534,-2.347177,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
Immanuel Christian Academy (Liberia),NA,2025,6.259301,-10.708433,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
Koni Kablu,Greater Accra,2008,5.876078,0.337461,0,0,0,1,0,0,0,1,0,0,0,3,1,1,1,1,NA,0
Kpala Government,Eastern,2012,6.987634,0.11678,1,0,1,1,0,0,0,0,0,0,1,0,57,0.8245614035087719,0.6,0.75,NA,0
Kpala Private,Eastern,2008,6.97744,0.121821,1,0,1,1,0,0,1,0,0,0,1,0,12,0.75,0.16666666666666666,0.5,NA,0
Kurasua #1 MA,Bono,2014,7.281956,-2.435211,1,0,1,1,1,0,0,0,0,0,0,1,137,0.6277372262773723,0.43636363636363634,0.7894736842105263,0,0
Luta,Greater Accra,2010,5.952769,0.370543,1,0,1,1,0,1,0,0,0,0,0,8,71,0.11428571428571428,0.3442622950819672,0.42105263157894735,1,3
Madavunu,Greater Accra,2010,5.971462,0.424356,1,0,1,1,0,0,0,0,0,0,0,6,80,0.2875,0,0.9259259259259259,0,3
Mamakrom,Eastern,2013,5.851524,-0.59891,1,0,1,1,1,0,1,0,0,0,0,5,165,0.3151515151515151,0.6774193548387096,0.4117647058823529,0,1
Mampong Shai,Greater Accra,2010,5.848272,0.046979,0,1,1,1,1,0,0,0,0,0,0,5,141,0.0425531914893617,0.36065573770491804,0.6842105263157895,0,3
Mansokwa,Central region,2019,5.578399,-0.881626,1,0,1,1,0,0,1,1,0,0,0,5,31,0.8387096774193549,0.03225806451612903,0.75,0.75,0
Mantukwa,Bono,2019,7.387288,-2.3677887,1,0,1,1,0,0,0,0,0,0,0,0,18,0.3333333333333333,0,0.5,NA,0
Meyikpoi,Eastern,2015,7.03562,0.097393,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
Minya,Greater Accra,2008,5.817278,0.318109,1,0,1,1,0,0,1,1,0,0,0,9,149,0.8322147651006712,0.25609756097560976,0.4166666666666667,0,1
Mobia,Ashanti,2023,NA,NA,1,0,1,1,1,0,1,1,0,0,0,2,9,1,0,NA,0,0
Mosipanin,Ashanti,2017,NA,NA,1,0,1,1,0,0,1,0,0,0,0,2,92,0.6413043478260869,0.04477611940298507,0.64,0,0
Mpaem,Eastern,2014,6.158015,-0.337939,1,0,1,1,1,1,1,1,0,0,0,9,136,0.5777777777777777,0.19318181818181818,0.48484848484848486,1,1
Ntomem,Eastern,2012,6.5372,0.60592,1,0,1,1,0,0,0,0,0,0,0,5,233,0.26609442060085836,0.03067484662576687,0.4067796610169492,0,0
Nwawasua MA,Bono,2014,7.342513,-2.340941,1,0,1,1,0,0,0,0,0,0,0,2,156,0.4513888888888889,0.3968253968253968,0.8421052631578947,1,0
Nwowom,Bono East,2013,7.812019471,-1.03033881,1,0,1,1,1,0,0,0,0,1,0,3,22,0.45454545454545453,0,0.25,NA,0
Nyariga Girls' School,Upper East,2010,10.850795,-0.090442,1,0,1,1,0,0,0,0,0,0,0,2,22,0.3181818181818182,0.2727272727272727,0.7272727272727273,NA,0
Nyapienya,Greater Accra,2015,6.024719,0.259324,1,0,1,1,1,0,1,0,0,1,0,10,105,0.7904761904761904,0.5964912280701754,0.47619047619047616,0,2
Obani,Greater Accra,2010,5.802072,0.595901,1,0,1,1,0,0,0,0,0,0,0,2,75,0.30666666666666664,0.96,0.07692307692307693,NA,0
Obelemanya,Eastern,2018,6.301957,-0.028104,1,0,1,1,0,0,0,0,0,0,0,2,23,0.6086956521739131,0,0.25,NA,0
Obosonu,Eastern,2017,5.897846,-0.276222,1,0,1,1,0,1,0,1,0,0,0,10,31,0.22580645161290322,0.6774193548387096,0.7692307692307693,1,2
Old Konkompe,Bono East,2014,7.661959,-0.98914,1,0,1,1,0,0,1,0,0,1,0,4,52,0.36538461538461536,0.08695652173913043,0.7857142857142857,0,0
Oyoko,Eastern,2025,6.13857,-0.290613,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,1
Paynesville Community (Liberia),NA,2025,6.2681875,-10.6945625,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
Pediatorkope,Greater Accra,2009,5.819813,0.628755,1,0,1,1,0,1,1,0,1,0,0,11,231,0.5021645021645021,0.8387096774193549,0.7291666666666666,1,4
Sunyani,Bono,2025,7.282031,-2.435831,1,0,1,1,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,0
Terhey,Greater Accra,2010,6.003635,0.423684,1,0,1,1,0,0,0,0,0,0,0,5,47,0.3404255319148936,0,0.6842105263157895,0,2
Torjeh,Greater Accra,2010,5.947827305,0.501367145,1,0,0,1,0,0,0,0,0,0,0,0,2,0.5,0.5,0,NA,0
Treeplanting FBC (Sierra Leone),NA,2025,8.434362,-13.215716,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
Tsledom,Eastern,2021,6.21754801,-0.008548714,1,0,1,1,0,0,1,0,0,0,0,2,10,0.9,0.9,0.5,NA,0
Tuanikope,Greater Accra,2011,5.833265,0.647715,1,0,1,1,0,0,0,0,0,0,0,2,16,0.9375,0,0.25,0,0
Tun Tun,Greater Accra,2016,6.372092,-1.063541,1,0,1,1,0,0,0,0,0,0,0,2,117,0.7521367521367521,0.012195121951219513,0.625,0,1
Wangarakrom,Western,2010,5.299536,-2.071712,1,0,1,1,0,0,0,0,0,0,0,3,45,0.2,0.2857142857142857,0,NA,0
Watro (Watroso),Bono East,2013,7.627735,-0.970724,1,0,1,1,0,0,1,1,0,1,0,4,47,0.5151515151515151,0.4634146341463415,0.7,0,0
Wekpeti Abresu,Eastern,2012,6.309288,-0.671626,1,0,1,1,1,0,0,0,0,0,0,4,146,0.4863013698630137,0.5277777777777778,0.48936170212765956,0,0
Wenamda,Ashanti,2019,6.990137,-1.099137,1,0,1,1,1,0,0,0,0,0,0,8,48,0.875,0,0.5789473684210527,0,0
Wurudu Wurudu,Eastern,2016,5.902147,-0.520959,1,0,1,1,0,1,1,1,0,1,0,9,105,0.2571428571428571,0.8035714285714286,0.68,1,3
Yonguase,Eastern,2017,6.231239,-0.057362,1,0,1,1,0,0,0,0,0,0,0,6,33,0.6363636363636364,0.2,0.5,0,0
