StartDate,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,Q1,Q1_6_TEXT,school_selected,school_other,Q3,Q4,Q4_12_TEXT,Q5,Q5_8_TEXT,Q6,Q7,Q8,Q8_4_TEXT,Q9,Q9_6_TEXT,has_library,Q11,Q13,Q14,Q15,Q16,Q16_3_TEXT,Q17,Q18,Q18_3_TEXT,Q12,Q19,Q20,lantern_group,Q22,Q22_7_TEXT,Q23,Q24,Q24_3_TEXT,Q25,Q25_8_TEXT,Q26,Q27,Q28,Q28_18_TEXT,Q29,Q29_5_TEXT,Q30,menstrual_kit,Q32,Q33,Q33_5_TEXT,Q34,Q34_3_TEXT,Q35,Q35_4_TEXT,has_computers,Q37,Q37_9_TEXT,Q38,Q38_7_TEXT,Q39,Q40,Q40_4_TEXT,Q41,Q41_9_TEXT,Q42,Q43,school_name
9/4/2025 12:33:58,369,R_oIkFwY3wTy7T8U5,5.705159,-0.992579,Richard,NA,Mobia,NA,Male,14,NA,Class 5,NA,Yes,1-2 times,Enjoyable to play with,NA,Hard to understand,NA,Yes,NA,Teacher brings books,Less than once a week,No,Other:,He does not enjoy reading much because he is. A slow reader,I want more fun books,NA,NA,NA,Yes,NA,Yes,4,NA,"No, I have never been a lantern leader",NA,NA,4 x per week,NA,NA,Yes I use them to study in the night which very helpful in doing home work and studying,Other:,Not yet experience anything yet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mobia
9/11/2025 4:02:16,607,R_0nNFfLirB5M9rsF,7.281723,-2.435308,Alex,NA,Kurasua #1 MA School,NA,Female,15,NA,JHS Form 3,NA,No,NA,NA,NA,NA,NA,Yes,NA,"With class,On my own",1-2 times a week,No,I like to learn new words,NA,No challenges,NA,NA,NA,Yes,NA,Yes,5,NA,"Yes, I am a lantern leader right now",I enjoy the responsibility,NA,2 x per week,NA,"Yes, visited",The lantern group has help me to gather my friends,Bad battery life,NA,NA,NA,Yes,Yes,Always,I have learned more about my body and cycle,NA,I have no challenges with the kit,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kurasua #1 MA
9/11/2025 3:56:14,354,R_faY0wyTeeYXEWMv,7.28107,-2.434746,Alex,NA,Kurasua #1 MA School,NA,Male,14,NA,JHS Form 2,NA,No,NA,NA,NA,NA,NA,Yes,NA,With class,Less than once a week,Yes,I like to read books,NA,Difficulty in reading,NA,NA,NA,Yes,NA,Yes,2,NA,"Yes, I am a lantern leader right now",I enjoy the responsibility,NA,3 x per week,NA,No,Help me to finished my home work at home,Other:,None,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kurasua #1 MA
9/11/2025 3:49:51,233,R_ipbdqx7M4A8bnfb,7.281774,-2.43603,Alex,NA,Kurasua #1 MA School,NA,Male,15,NA,JHS Form 2,NA,No,NA,NA,NA,NA,NA,No,"Yes, I have access to books",Never,NA,NA,NA,NA,NA,Other:,They do not have a library,School text boosks,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kurasua #1 MA
9/10/2025 3:59:34,255,R_06pEi2p0fYuYHRB,7.292984,-2.402705,Richard,NA,Nwawasua MA School,NA,Male,12,NA,Class 5,NA,No,NA,NA,NA,NA,NA,I do not know,"No, I have no access to reading materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not currently, but they had one in the past","No, I have never used one of the lanterns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1 time a week,NA,"ICT,Typing",NA,Never,I have to go home after school to help my parents,NA,Other:,Typing,I get the use the computers to learn,Some of the computers don’t work,Nwawasua MA
9/10/2025 6:49:50,69,R_0VF12FFplYGLrWn,7.282046,-2.435768,Richard,NA,Kurasua #1 MA School,NA,Female,11,NA,Class 6,NA,No,NA,NA,NA,NA,NA,Yes,NA,Teacher brings books,I have never visited,No,"I like to read books,I like to learn new words",NA,The books are not many at the library,NA,NA,NA,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Group stopped,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kurasua #1 MA
9/10/2025 6:39:48,205,R_fOSkZKmDGn9lo1V,7.282869,-2.43101,Richard,NA,Kurasua #1 MA School,NA,Male,12,NA,JHS Form 1,NA,Yes,3-4 times,"Help to understand confusing concepts,Enjoyable to play with",NA,"Missing parts,Not allowed to use with freedom",NA,Yes,NA,"With class,Teacher brings books",1-2 times a week,No,I like to learn new words,NA,There is not enough books,NA,NA,NA,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Group stopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kurasua #1 MA
9/10/2025 7:06:59,181,R_1erMvmLhxjdADgY,7.283543,-2.434158,Richard,NA,Kurasua #1 MA School,NA,Male,13,NA,JHS Form 1,NA,Yes,3-4 times,"Hands-on learning,Help to understand confusing concepts,Enjoyable to play with",NA,"Missing parts,Not enough kits",NA,Yes,NA,Teacher brings books,I have never visited,No,"I like to read books,I like to learn new words",NA,Because some students takes books away without permission we not allowed to visit there anymore,NA,NA,NA,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never assigned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kurasua #1 MA
9/10/2025 3:42:46,516,R_6YwuwnWLu9wliRN,7.290715,-2.40512,Richard,NA,Nwawasua MA School,NA,Female,14,NA,JHS Form 2,NA,Yes,1-2 times,"Hands-on learning,Help to understand confusing concepts,Enjoyable to play with",NA,Not allowed to use with freedom,NA,Yes,NA,On my own,Less than once a week,Yes,I like to learn new words,NA,The library is small for me and I wanted to more books stocked at thel library,NA,NA,NA,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Group stopped,NA,Yes,Yes,Always,I have learned more about my body and cycle,NA,I have no challenges with the kit,NA,NA,NA,Yes,3 times a week,NA,"ICT,Typing",NA,Never,I have to go home after school to help my parents,NA,"Used Excel/Word/other installed programs,Played a game,Read an article/web page,Read a book,Explored a website",NA,It makes learning very easy. I also explore more,Some don’t work or sometimes doesn’t function,Nwawasua MA
9/10/2025 7:04:12,164,R_cUKQGXvyOxNFnWB,7.283014,-2.434625,Richard,NA,Kurasua #1 MA School,NA,Female,14,NA,JHS Form 1,NA,Yes,1-2 times,"Hands-on learning,Help to understand confusing concepts,Enjoyable to play with",NA,"Missing parts,Not allowed to use with freedom,Not enough kits",NA,Yes,NA,Teacher brings books,Less than once a week,No,I like to learn new words,NA,We are not allowed to visit,NA,NA,NA,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never assigned,NA,Yes,Yes,Sometimes,"I have learned more about my body and cycle,I no longer miss school because of my period,I feel more confident and comfortable when I have my period",NA,I have no challenges with the kit,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kurasua #1 MA
