StartDate,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,Q1,Q1_4_TEXT,Q1.5,Q1.5_6_TEXT,Q2,Q2_69_TEXT,Q3,Q3_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_5_TEXT,Q18_6_TEXT,Q19,Q19_7_TEXT,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31_1,Q31_2,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q39_TEXT,Q40_1,Q81_1,Q81_2,Q81_3,Q38.5,Q38.5_4_TEXT,Q38.5.5,Q38.5.5_4_TEXT,Q79,Q79_3_TEXT,Q41,Q42,Q43,Q80,Q44,Q45,Q82,Q82_13_TEXT
Start Date,Duration (in seconds),Response ID,Location Latitude,Location Longitude,Your Name - Selected Choice,Your Name - Other - Text,Are additional members of the team joining your visit? - Selected Choice,Are additional members of the team joining your visit? - Other - Text,School Name - Selected Choice,School Name - Other: - Text,What is the purpose of the school visit today? - Selected Choice,What is the purpose of the school visit today? - Other - Text,What is the estimated population in the surrounding community?,How many total students are enrolled this term?,How many teachers are assigned to the school this term?,How many Primary School students are enrolled this term?,How many students completed Primary School and moved on to JHS last year?,Is there a Junior High School?,How many JHS students are enrolled this term?,How many students took the BECE at the end of last school year?,"Of the students who took the BECE, how many passed?",What was the average BECE score from that group?,"Of those students who passed, how many went onto secondary school/technical school?",How close is the nearest JHS in kilometers?,What type of Merry-Go-Round does this school have?,Is the Merry-Go-Round functioning? - Selected Choice,Is the Merry-Go-Round functioning? - There is another part broken (please specify): - Text,Is the Merry-Go-Round functioning? - Other: - Text,Is the MGR functioning? Are they any problems you've noticed? - Selected Choice,Is the MGR functioning? Are they any problems you've noticed? - Other: - Text,Does this community have power?,Is this MGR still used to power lanterns for students?,"Are any lanterns being reported lost, stolen, or broken during this visit?","If yes, how many are being reported lost, stolen, or broken this visit?","How many lanterns does the school have now? (minus any lost, broken, or stolen)  Please note if you replaced any of the lanterns during this visit.","How many lantern groups are on record at this school this term? 
Ask to see their lantern group form. If there is a large number difference between number of lantern groups and number of lanterns please make a note. Example- Teachers have 4 and they have 4 extra.","Are teachers following up with the lantern groups?
Remind headmasters that teachers should be assigned to visit groups through out the year and all teachers should follow up with students verbally in class to see if students are conducting thier lantern groups.",Would you recommend removing this power-generating MGR and replacing it with a non-generating MGR?,In what capacity is this MGR/charging station still needed? Please explain.,Does this school have science kits?,How often do your teachers use the science kits?,"Answer according to the best description of your school. - My teachers and I know more about science, technology, and math since my school received the science kits","Answer according to the best description of your school. - My teachers and I are more interested in science, technology, or math since my school received the science kits",Does this school have a library?,Does this school have space for a library?,Does this school have a decent toilet facility?,Does this school have easy access to clean water (borehole)?,Does this school have enough quality classrooms?,Has EPI distributed menstrual kits and completed the training at this school?,"When was the last menstrual kit distribution and training given at this school? (Estimate is okay, ex: ~2 months ago)",Does this school have computers? - Selected Choice,Does this school have computers? - Other - Text,How many computers does this school have? - Number of computers,laptops,computers,tablets,Did the school receive some training on how to use the computers from the organization/government that brought them? - Selected Choice,Did the school receive some training on how to use the computers from the organization/government that brought them? - Other: - Text,Do they have a Rachel device to go along with these computers? - Selected Choice,Do they have a Rachel device to go along with these computers? - Other: - Text,Would you recommend putting a RACHEL here to go along with these computers? - Selected Choice,Would you recommend putting a RACHEL here to go along with these computers? - Other: - Text,Are any of the computers/computer parts broken?,What is broken? How many things are broken? Please describe the situation.,"When was the last RACHEL/computer training given to the school? (Estimate is okay, ex: ~2 months ago)",Does this school need additional training on computers?,Are the computers being used for subjects other than ICT?,Do you recommend this school be reviewed for a school project in the future?,Please describe what project(s) you think they should be considered for. - Selected Choice,Please describe what project(s) you think they should be considered for. - Other: - Text
9/10/2025 3:24:52,0,R_nzTsknIB4bSq76G,7.297644,-2.397433,Richard,NA,"Isaac,Richard,Alex,Peace",NA,Mobia,NA,"Routine Check In,Computer Training,Menstrual Kit Distribution and Training",NA,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/17/2025 8:03:14,539,R_eW1PYvuhk3diCdq,5.986529,0.357595,Alex,NA,NA,NA,Luta,NA,"MGR Maintenance,Routine Check In,Survey Students",NA,115,124,13,76,19,Yes,48,19,NA,27,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,"Yes, from EPI",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,16/09/2025,No,Yes,Yes,NA,NA
9/17/2025 6:50:07,475,R_jXEDYkMHvvJjR2N,5.892939,0.421933,Alex,NA,Other,Vincent,Madavunu,NA,"Routine Check In,Survey Students",NA,801,231,11,170,19,Yes,61,19,NA,33,NA,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,No,NA,19,13,Yes,NA,NA,Yes,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
9/17/2025 5:41:12,533,R_jN2HwC67WfYYKRv,6.00501,0.424935,Alex,NA,NA,NA,Terhey,NA,"MGR Maintenance,Routine Check In,Survey Students",NA,700,153,9,106,9,Yes,47,9,NA,28,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,No,NA,15,8,Yes,NA,NA,Yes,1-2 times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
9/17/2025 4:07:57,860,R_ncZUSDIIDERCCTn,5.952784,0.371491,Alex,NA,NA,NA,Amuyaokope,NA,"Routine Check In,Survey Students",NA,1000,289,12,186,30,Yes,98,30,NA,26,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,2025-01-01,"Yes, from EPI",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,17/09/2025,No,Yes,Yes,NA,NA
9/18/2025 6:07:11,233,R_4xiYnkmps9CCvbW,5.9031,-0.522275,Alex,NA,NA,NA,Wurudu Wurudu,NA,"Routine Check In,Survey Students",NA,800,230,13,170,13,Yes,60,13,NA,NA,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, EPI has helped them get access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,"Yes, from EPI",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,18/09/2025,No,Yes,Maybe,NA,NA
9/23/2025 5:24:07,818,R_jjdhffBPcfj0YIk,5.973465,-0.215938,Alex,NA,NA,NA,Attabui,NA,"Routine Check In,Survey Students",NA,500,175,14,125,17,Yes,50,29,NA,29,29,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1-2 times in a term,5- This describes our school,5- This describes our school,"Yes, another organization or the government has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,"Yes, from EPI",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,23/09/2025,No,Yes,Maybe,NA,NA
9/24/2025 6:03:47,287,R_ip0kKsuBEfb660B,6.296918,-0.689601,Richard,NA,NA,NA,Ekorso Akwadum,NA,"Routine Check In,Survey Students,Computer Training",NA,1860,268,11,68,48,NA,13,13,NA,37,37,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-2 times in a term,5- This describes our school,5- This describes our school,"Yes, another organization or the government has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has provided access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,"Yes, from EPI",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,23/08/2025,NA,Yes,Yes,NA,NA
9/18/2025 4:35:38,498,R_25lZ1XqNN4xi4xG,6.372827,-1.06349,Richard,NA,No,NA,Bepotumtum,NA,"Routine Check In,Survey Students,Computer Training",NA,900,120,7,47,15,NA,35,12,NA,19,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-2 times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, EPI has helped them get access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,"Yes, from EPI",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,3 have broken down currently,18-08-2025,NA,Yes,No,NA,NA
