ResponseId,StartDate,Progress,Duration (in seconds),LocationLatitude,LocationLongitude,1,1_6_TEXT,2,2_15_TEXT,3,4,5,6,7,8,9,9_2_TEXT,10,11,12_1,13,14,15,16,17_1,18,19,20,20_5_TEXT,21,21_4_TEXT,22,23,24,25,25_2_TEXT,26_1,27,28,29,29_6_TEXT,30,31,32,33_1,34,35_1,36,37,37_4_TEXT,38,39,40,41,41_5_TEXT,42,43,44,44_3_TEXT,45,46,47,48,49#1_1_1,49#1_1_2,49#1_2_1,49#1_2_2,49#1_3_1,49#1_3_2,49#1_4_1,49#1_4_2,49#1_5_1,49#1_5_2,49#1_6_1,49#1_6_2,49#2_1_1,49#2_1_2,49#2_2_1,49#2_2_2,49#2_3_1,49#2_3_2,49#2_4_1,49#2_4_2,49#2_5_1,49#2_5_2,49#2_6_1,49#2_6_2,50,50_3_TEXT,51,52,53,54,55,56,57,58,59,59_4_TEXT,60,61,62,63,64,65_1,66,67
Response ID,Start Date,Progress,Duration (in seconds),Location Latitude,Location Longitude,What is your name? - Selected Choice,What is your name? - Other: - Text,"Who else is with you for this project installation? Please list everyone, including visitors: - Selected Choice","Who else is with you for this project installation? Please list everyone, including visitors: - Other: - Text",What type of new project is this?,Is this new project at a school that we've previously worked in?,School Name,What is the name of the school?,What is the number of students enrolled in the school? (both JHS and Primary),What are the coordinate points of this school on a map? (This will be used to add it to the website),"Was this project(s) done in partnership with anyone? If yes, please list who: - Selected Choice","Was this project(s) done in partnership with anyone? If yes, please list who: - Yes - Text",Was this MGR removed from a different school to be brought here?,Which school did this MGR get removed from?,How many lanterns were distributed today? - Number of Lanterns,How many lantern groups were created?,What is the average number of kids per group?,Was an electricity generating MGR removed from this school?,"Which non-generating MGR is this? (Ex: Where was it purchased? Mathais, China, Ghana, etc.)",How many computers were given to the school today? - Number of Computers,Is this lab solar powered?,What is the identification number for this RACHEL device?,What else did EPI provide for the lab today? (Meaning we provided the funds) - Selected Choice,What else did EPI provide for the lab today? (Meaning we provided the funds) - Other: - Text,Is this Starlink being installed into an EPI Computer Lab? - Selected Choice,"Is this Starlink being installed into an EPI Computer Lab? - No, it's being installed somewhere else (Please specify where): - Text",Was a RACHEL device removed to add this Starlink? Was it functioning well?,What was wrong with the RACHEL at this school? Be specific.,What is the exact date of this Starlink installation?,Was solar project installed at a JHS that has a split JHS/Primary? - Selected Choice,"Was solar project installed at a JHS that has a split JHS/Primary? - No, (please explain why this is being installed) - Text",How many additional lanterns were given to the JHS today? - Number of Lanterns,"What is the purpose of this solar system? (Ex: for teachers bungalow, for community health center, etc., BE SPECIFIC)",How many solar panels were installed?,What is this building for? - Selected Choice,What is this building for? - Other: - Text,How many rooms is it?,What day did the building begin? Please give the exact day if you can.,What day did the building finish? Please give the exact day if you can.,How many science kits were given today? - Number of Kits,Did you give a teacher training today?,How many teachers participated in the training? - Number of teachers,How many menstrual kits were distributed today?,Who participated in the menstrual kit training given today? (Select all that apply) - Selected Choice,Who participated in the menstrual kit training given today? (Select all that apply) - Other: - Text,"Where did the Menstrual Hygiene Day Celebration take place? (Please list the area it took place in, as well as the name of the school if it took place on school grounds).",How many schools participated in the Menstrual Hygiene Day Celebration?,Please list the names of the schools that participated. (Specify if each one is a current EPI school or if this is their first interaction with EPI).,Who attended the celebration? - Selected Choice,Who attended the celebration? - Other: - Text,How many total people attended the event? (Give an estimate if exact number is unknown).,Approximately how many books are in this library?,Did EPI provide anything besides the books for this library? - Selected Choice,"Did EPI provide anything besides the books for this library? - Yes, we provided ____ (other, please fill out): - Text",Is there a specific teacher assigned to be in charge of this library?,Which teacher is in charge of the library? (Please list what grade/subject they teach),Did we provide the library books for this school's participation in the GROW Project?,Please specify where else their books have come from:,How many students are participating in the GROW Project at this school? Please list number of boy... - Girls - Class 4 - Answer 1,How many students are participating in the GROW Project at this school? Please list number of boy... - Girls - Class 4 - Answer 2,How many students are participating in the GROW Project at this school? Please list number of boy... - Girls - Class 5 - Answer 1,How many students are participating in the GROW Project at this school? Please list number of boy... - Girls - Class 5 - Answer 2,How many students are participating in the GROW Project at this school? Please list number of boy... - Girls - Class 6 - Answer 1,How many students are participating in the GROW Project at this school? Please list number of boy... - Girls - Class 6 - Answer 2,How many students are participating in the GROW Project at this school? Please list number of boy... - Girls - JHS 1 - Answer 1,How many students are participating in the GROW Project at this school? Please list number of boy... - Girls - JHS 1 - Answer 2,How many students are participating in the GROW Project at this school? Please list number of boy... - Girls - JHS 2 - Answer 1,How many students are participating in the GROW Project at this school? Please list number of boy... - Girls - JHS 2 - Answer 2,How many students are participating in the GROW Project at this school? Please list number of boy... - Girls - JHS 3 - Answer 1,How many students are participating in the GROW Project at this school? Please list number of boy... - Girls - JHS 3 - Answer 2,How many students are participating in the GROW Project at this school? Please list number of boy... - Boys - Class 4 - Answer 1,How many students are participating in the GROW Project at this school? Please list number of boy... - Boys - Class 4 - Answer 2,How many students are participating in the GROW Project at this school? Please list number of boy... - Boys - Class 5 - Answer 1,How many students are participating in the GROW Project at this school? Please list number of boy... - Boys - Class 5 - Answer 2,How many students are participating in the GROW Project at this school? Please list number of boy... - Boys - Class 6 - Answer 1,How many students are participating in the GROW Project at this school? Please list number of boy... - Boys - Class 6 - Answer 2,How many students are participating in the GROW Project at this school? Please list number of boy... - Boys - JHS 1 - Answer 1,How many students are participating in the GROW Project at this school? Please list number of boy... - Boys - JHS 1 - Answer 2,How many students are participating in the GROW Project at this school? Please list number of boy... - Boys - JHS 2 - Answer 1,How many students are participating in the GROW Project at this school? Please list number of boy... - Boys - JHS 2 - Answer 2,How many students are participating in the GROW Project at this school? Please list number of boy... - Boys - JHS 3 - Answer 1,How many students are participating in the GROW Project at this school? Please list number of boy... - Boys - JHS 3 - Answer 2,What else was distributed today during the GROW Project that was provided by EPI? (Select all that apply) - Selected Choice,What else was distributed today during the GROW Project that was provided by EPI? (Select all that apply) - Other: - Text,How many notebooks were distributed?,What is the date of the Empower STEM Event?,Which university did the Empower STEM event take place at?,How many schools participated today? (Please list the number).,Were there any non-EPI schools that came to the STEM Day Event?,Please list the each name of the school(s) that participated in STEM Day that are non-EPI schools.,Which EPI schools participated in the STEM Day? Please select each individual school.,How many students were at the STEM day? (Estimate if exact number is unknown).,What did EPI provide for the STEM day? - Selected Choice,What did EPI provide for the STEM day? - Other: - Text,Who were the speakers at the event? Please list each persons name and occupation/title.,"Please give a brief overview of the STEM event. (Order of events, what the students did, anything that was impactful from the event that you feel should be recorded/shared).",Approximately how many people will this borehole serve/provide water for?,Is this borehole on school grounds?,Why did this borehole need to be repaired? Please specify what was broken. Be specific.,How many Biofil Toilets were built? - Number of Toilets,Are the toilets for the school or for teachers only?,Is there anything else you think should be noted/recorded about this project?
R_5Ax2r6UyiHSCQyR,1/26/2026 13:15:58,100,79,40.3598,-111.7304,Isaac,NA,NA,NA,Electricity Generating MGR Installation,"Yes, this is not the first project we have done at this school.",Adenya,NA,NA,NA,Yes,Roberts Family Foundation,Yes,Attabui,17,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_5C2tlplWCQBl9zj,1/26/2026 13:17:22,100,69,40.3598,-111.7304,Isaac,NA,NA,NA,Non-Generating MGR Installation,"No, this is our first time doing any EPI project at this school.",NA,Ddada,202,35 w 21 n,No,NA,NA,NA,NA,NA,NA,"No, they have never had a generating MGR at this school",Playworld,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_5Kwncxr6n6dUFqL,1/26/2026 13:18:34,100,25,40.3598,-111.7304,Isaac,NA,NA,NA,Solar Project for Lanterns Specifically (No MGR),"Yes, this is not the first project we have done at this school.",Adenya,NA,NA,NA,No,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_5HFyUlgeBVSJL8W,1/26/2026 13:19:02,100,34,40.3598,-111.7304,Alex,NA,NA,NA,Solar Project (not for lanterns),"Yes, this is not the first project we have done at this school.",Akwanserem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,teacher bungalow,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_5kMqZ2aKWw5O0h3,1/26/2026 13:19:39,100,97,40.3598,-111.7304,Alex,NA,NA,NA,"Computer Lab,RACHEL Device","No, this is our first time doing any EPI project at this school.",NA,abrenya,2,1,No,NA,NA,NA,NA,NA,NA,NA,NA,12,Yes,123456,Desks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_5ZK1fndMYTN5hdv,1/26/2026 13:33:16,100,38,40.3598,-111.7304,Richard,NA,"Richard,Peace",NA,Starlink,"No, this is our first time doing any EPI project at this school.",NA,a,a,a,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,"Yes, we removed a RACHEL but it WAS NOT functioning well",sa,sa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_57saKu0MVYTY2YS,1/26/2026 13:33:58,100,116,40.3598,-111.7304,Alex,NA,No one,NA,"Building Construction,Science Kit Distribution,Menstrual Kit Distribution","Yes, this is not the first project we have done at this school.",Abrenya,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Teacher Bungalow,NA,4,1/21,2/23,5,Yes,12,1,"Students,Teachers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_5vjFn00SmJQE2Vi,1/30/2026 10:17:30,100,72,40.3598,-111.7304,Isaac,NA,"Alex,Richard",NA,Electricity Generating MGR Installation,"No, this is our first time doing any EPI project at this school.",NA,Apaah,200,"1, 2",Yes,Alexis omman,Yes,Dedenya,24,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
R_ojIP2onJEpc9WXQ,2/2/2026 3:39:59,100,69,5.986266,0.357301,Richard,NA,NA,NA,Starlink,"Yes, this is not the first project we have done at this school.",Luta,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
