StartDate,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,Q1,Q1_6_TEXT,Q1.5,Q1.5_6_TEXT,Q95,Q3,Q3_6_TEXT,Q4,Q4_6_TEXT,Q5,Q5_4_TEXT,Q6,Q6.5,Q7,Q8,Q9,Q10,Q10_4_TEXT,Q11,Q11_5_TEXT,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q93
Start Date,Duration (in seconds),Response ID,Location Latitude,Location Longitude,Your Name - Selected Choice,Your Name - Other: - Text,Are there any other members of the team joining you on this visit? - Selected Choice,Are there any other members of the team joining you on this visit? - Other - Text,School Name,"Why did you visit the school visit today? (Initial reason for coming, not what actually was done during visit) - Selected Choice","Why did you visit the school visit today? (Initial reason for coming, not what actually was done during visit) - Other: - Text","What did you do during the visit today? (Mark everything that was done today during your visit, whether it was the reason you came or not) - Selected Choice","What did you do during the visit today? (Mark everything that was done today during your visit, whether it was the reason you came or not) - Other: - Text",What was wrong with the MGR? - Selected Choice,What was wrong with the MGR? - Other: - Text,Were you able to fix it during this visit?,Did you replace the charging station battery?,Please describe what still needs to be done:,Did you need to replace any lanterns today?,How many lanterns?,Why did the lantern(s) need to be replaced? - Selected Choice,Why did the lantern(s) need to be replaced? - Other: - Text,What was wrong in the computer lab? - Selected Choice,What was wrong in the computer lab? - Other: - Text,Were you able to fix all the problems? (Make sure to read each option),How many computers were replaced?,How many computers were taken with you?,What materials/tools were you missing today that would have allowed you to fix the computer problem?,What was the focus of your computer training today?,How many teachers participated in the training?,Were any students present for your training?,"Please describe the students present. (Number of students, gender, class, and why they were allowed in the training).",How many kits were distributed today?,Did you distribute new science kits today?,How many science kits were given today?,Did you conduct a teacher training for science kits today?,How many teachers attended your training?,What do you feel that this school is doing well at? Please describe:,What is this school struggling with? Are there any problems you observed today during your visit that weren't already addressed in this survey? Please describe them in detail below:,"Do any of the problems you described need to be addressed immediately? If so, please list which problem and why it should be addressed ASAP.","If you have any other observations from today that you feel should be shared, please describe it here:"
12/1/2025 9:56:46,216,R_liBauH3vyvr2g6M,5.545411,-0.476599,Richard,NA,NA,NA,NA,"Computer Training,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/3/2025 13:17:49,126,R_gDunXvDn46a9QRy,5.702667,-0.993091,Richard,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-12 0:56:33,118,R_mYFqURfHM2MdwS2,5.5545,-0.1902,Richard,NA,NA,NA,NA,Routine Visit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-12 1:23:38,207,R_mJwyMpmDIfeRXtQ,5.5545,-0.1902,Richard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-12 5:06:05,250,R_hPTWNQTNZgZwcAM,5.5545,-0.1902,Richard,NA,NA,NA,Akwanserem,"Routine Visit, MGR/Charging Maintenance",NA,"Routine Visit, MGR/Charging Maintenance",NA,The charging station/solar needed to be fixed,NA,"No, I need other supplies and will have to come back another day",No,"The charging system was fictional so I remove it for repairs. Also the battery has fallen, I removed it for charging.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The usage of science kits and the reusable menstrual kits.,Lantern group need more attention,The lantern group was recognized immediately,NA
2026-01-12 8:39:09,141,R_jhdA5nGdTfcFbrV,5.5545,-0.1902,Richard,NA,NA,NA,Bahankra,Routine Visit,NA,Routine Visit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The school is doing very well with the lantern program. Students are equally distributed in groups. Good records are kept to ensure each lantern is accounted for.,NA,The school borehole isn’t working well,NA
2026-01-12 8:41:32,246,R_flCMy250Ik4Qugb,5.5545,-0.1902,Richard,NA,NA,NA,Domase,"Routine Visit, Other:",Look at the borehole and the classroom,Routine Visit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,They are beginning to have a productive usage of the science kits.,Due to lack of proper supervision some of the lantern groups don’t function as expected,Immediate training for the science kits program,Student population are increasing. Their classroom isn’t sufficient to cater for the students body
2026-01-13 11:27:20,267,R_h9lMyUWHV0QXaxn,5.5545,-0.1902,Alex,NA,Akuvi,NA,Nyienpeya,"Routine Visit, MGR/Charging Maintenance",NA,MGR/Charging Maintenance,NA,The charging station/solar needed to be fixed,NA,"No, I need other supplies and will have to come back another day",Yes,The charging station needs repairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,They are doing well with our programs,NA,NA,NA
2026-01-13 11:18:20,537,R_bnajQ4leTKu6und,5.5545,-0.1902,Alex,NA,NA,NA,Anamenampa,Routine Visit,NA,MGR/Charging Maintenance,NA,The charging station/solar needed to be fixed,NA,"No, I need other supplies and will have to come back another day",Yes,The charging system needs repairs and a new battery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The lantern groups are working and well coordinated,NA,NA,NA
