School Name,Region,EPI Start Year,Latitude,Longitude,MGR,Non-Generating MGR,Feminine Hygiene Kits,Science Kits,Library,Computer,Construction Projects,Boreholes,Solar Power,Biofill Toilets,Light a Village,Starlink,7/17/2026,6/18/2026
Abrenya,Eastern,2012,6.324242861,-0.583628271,1,0,1,1,0,0,1,1,0,0,0,0,0,NA
Adenya,Eastern,2010,5.965312,-0.175099,1,0,1,1,1,0,0,0,0,0,0,0,0,NA
Ador Kope R/C Primary,Greater Accra,2019,7.114074,0.125415,1,0,1,1,0,1,0,0,1,0,0,0,0,NA
Afransua Dedewa MA Primary,Eastern,2014,5.945836,-0.326155,1,0,1,1,0,1,2,1,0,0,0,0,1,NA
Akwanserem,Eastern,2024,6.3915879,-0.3794522,1,0,1,1,0,0,0,0,1,0,0,0,0,NA
Akwansu,Eastern,2019,5.9237,-0.250044,1,0,1,1,0,0,0,0,1,0,0,0,0,NA
Akyeremanteng,Eastern,2010,6.169539,-0.198325,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Alorkpem Island,Greater Accra,2010,5.794063455,0.647504764,1,0,1,1,1,1,0,0,1,0,0,1,0,NA
Amuyaokope,Greater Accra,2010,5.952769,0.370543,1,0,1,1,0,1,0,1,0,0,0,0,1,NA
Anamenampa,Eastern,2010,5.8826332,-0.2618769,1,0,1,1,0,0,0,0,0,0,0,0,1,NA
Anateem Sumbrungu,Eastern,2011,10.826496,-0.975049,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Apaah,Eastern,2025,6.416,-0.436,1,0,1,1,0,0,0,0,1,0,0,0,0,NA
Ataampuutum A/B,Upper East,2011,10.846948,-0.92541,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Attabui,Eastern,2011,5.973529,-0.215901,1,0,1,1,1,1,1,1,0,0,0,0,0,NA
Avadre,NA,2026,6.3013,0.6894,0,1,1,1,0,0,0,0,0,0,0,0,0,NA
Azizakpem,Greater Accra,2012,5.783769,0.659856,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Bahankra,Ashanti,2013,6.863119,-1.134764,1,0,1,1,1,0,2,1,0,1,0,0,0,NA
Begoro,Eastern,2023,6.3928,-0.383,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
Bepotumtum,Eastern,2013,6.368032383,-0.096746881,1,0,1,1,1,1,0,1,0,0,0,0,0,NA
Bomigo,Eastern,2013,5.814691,0.728023,1,0,1,1,1,1,0,0,0,0,0,0,0,NA
Community 3,Western,2015,5.097438,-1.956198,1,0,1,1,1,0,1,0,0,0,0,0,0,NA
Community 9,Western,2015,5.101386,-1.910758,1,0,1,1,0,0,1,0,0,0,0,0,0,NA
Dagomba,Ashanti,2013,7.019188,-1.117714,1,0,1,1,1,1,0,1,0,0,0,0,0,NA
Dedenya,Greater Accra,2008,5.857177342,0.049015377,0,1,1,1,0,1,0,0,0,0,0,0,1,NA
Dedewa,Greater Accra,2008,NA,NA,1,0,1,1,0,0,0,1,0,1,0,0,0,NA
Domase,Ashanti,2010,6.865585,-1.216795,1,0,1,1,0,0,1,1,0,0,0,0,0,NA
Ebourso,Bono East,2019,7.547051811,-1.198753976,1,0,0,1,0,0,0,0,0,0,0,0,0,NA
Ekorso Akwadum,Eastern,2012,6.303682,-0.725009,1,0,1,1,1,1,0,0,0,0,0,0,0,NA
Essam,Eastern,2008,6.018182,-0.975634,1,0,1,1,0,0,1,0,0,0,0,0,0,NA
Fanterila,Mali,2008,11.359305,-6.041992,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Fawotrikosie,Eastern,2016,5.961812,-0.537674,1,0,1,1,1,1,2,1,0,0,0,0,1,NA
Ferekoroba,Mali,2015,11.959291,-7.862025,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Galalia,Eastern,2014,6.691096,0.09821,1,0,1,1,0,0,1,0,0,0,0,0,0,NA
