school_name,urgent_issues,visit_reason,activities,observations,visit_date,visitor,issue_id,resolved_date,resolved_by,resolution_notes
Akwanserem,The lantern group was recognized immediately,"Routine Visit,MGR/Charging Maintenance","Routine Visit,MGR/Charging Maintenance",NA,2026-01-12,Richard,1c536a9b85a9,2026-04-17,Morgan,Looks like accidental entry
Bahankra,The school borehole isn’t working well,Routine Visit,Routine Visit,NA,2026-01-12,Richard,7987dcd738ac,2026-04-30,Richard Koomson,It’s currently working now
Domase,Immediate training for the science kits program,"Routine Visit,Look at the borehole and the classroom",Routine Visit,Student population are increasing. Their classroom isn’t sufficient to cater for the students body,2026-01-12,Richard,69182b15ce94,2026-04-30,Richard Koomson,Training meeting was held to help train the new teachers as well.
Abrenya,I met with the Headmaster and the SMC chairman to finds ways to improve the use.,"Routine Visit,Initiate the process of building a computer Lab","Routine Visit,Student Survey Team Visit",The school is doing well in academics. Since they got electricity recently. The school has wired all classroom with light and are doing night studies for the students who stay in close proximity,2026-01-14,Richard,deccb47f041e,2026-04-27,Morgan,Looks like an accidental entry
Bepotumtum,Leakage at the one of the windows of the lab. Rains come inside the lab.,"Computer Maintenance,Student Survey Team Visit","Routine Visit,Computer Maintenance,Student Survey Team Visit",NA,2026-01-19,Richard,4c0febebf03b,2026-05-21,Richard,Window has been fixed
Akwansu,"New charging stations because the JHS is far from the primary school block, we are in process of building a new charging station for the school",Routine Visit,"Routine Visit,Science Kit Training/Distribution",None,2026-01-19,Alex,c919b6321892,2026-05-21,Alex,New charging Station installed for the JHS
Tun Tun,Parent teacher meeting to help the parents understand the lantern program,"Routine Visit,MGR/Charging Maintenance","Routine Visit,MGR/Charging Maintenance,Science Kit Training/Distribution,Student Survey Team Visit",NA,2026-01-27,Richard,79d4e78cc06c,2026-04-30,Richard,Meeting was held to that effect.
Dagomba,Increase of computers or improve current schedule,"MGR/Charging Maintenance,Computer Maintenance,Science Kit Training/Distribution",MGR/Charging Maintenance,NA,2026-02-23,Richard,915e27a7110f,2026-04-30,Richard,NA
Anateem Sumbrungu,Teachers are planning to have a PTA meeting to review that,"Routine Visit, Full Update Survey","Routine Visit, Student Survey Team Visit",NA,2026-05-13,Richard,a2c37dbdcfea,2026-06-01,Richard,PTA meeting has been held to resolve the issue
Dagomba,Teacher training,MGR/Charging Maintenance,"MGR/Charging Maintenance, Computer Maintenance",NA,2026-05-15,Richard,541810e35dbf,2026-05-22,Anna,Not an issue
Begoro,Staff meeting about the use of our projects.,"Routine Visit, Computer Maintenance","Routine Visit, Computer Maintenance","Though the school is doing well academically, they are to appreciate our effort in helping them augment what they are doing. Especially in the ICT field",2026-05-18,Richard,a66265861d20,2026-05-22,Anna,Not an issue
