school_name,update_date,recommend_project,recommended_types,recommend_mgr_swap,visitor
Yonguase,2026-06-02,Maybe,Computers,NA,Richard
Akyeremanteng,2026-06-02,No,NA,NA,Richard
Akwanserem,2026-06-02,No,NA,NA,Richard
Essam,2026-06-02,No,NA,"Yes, it could be exchanged and it would not affect the school",Richard
Apaah DA Basic School,2026-06-02,No,NA,NA,Richard
Community 3,2026-05-21,Maybe in the future,NA,No,Richard
Begoro,2026-05-19,Maybe in the future,NA,No,Richard
Nyariga Girls' School,2026-05-19,Maybe in the future,NA,No,Richard
Nwawasua MA,2026-05-19,"No, they do not need anything or they need to work on their lantern program more.",NA,No,Richard
Nwowom,2026-05-19,"No, they do not need anything or they need to work on their lantern program more.",NA,No,Richard
Anateem Sumbrungu,2026-05-13,"No, they do not need anything or they need to work on their lantern program more.",NA,No,Richard
Ataampuutum A/B,2026-05-13,Maybe in the future,NA,No,Richard
Community 3,2026-05-13,Maybe in the future,NA,No,Richard
Community 9,2026-05-13,Maybe in the future,NA,No,Richard
Akwansu,2026-05-12,Yes,Library books,NA,Alex
Apaah DA Basic School,2026-05-11,Yes,"Water (borehole), Library booky",NA,Alex
Galalia,2026-05-11,"No, they do not need anything or they need to work on their lantern program more.",NA,No,Richard
Kpala Government,2026-05-11,"No, they do not need anything or they need to work on their lantern program more.",NA,No,Richard
Kpala Private,2026-05-11,"No, they do not need anything or they need to work on their lantern program more.",NA,No,Richard
Obelemanya,2026-05-11,"No, they do not need anything or they need to work on their lantern program more.",NA,No,Richard
Zippo Nyuinyui,2026-05-11,Maybe in the future,NA,No,Richard
Ador Kope R/C Primary,2026-05-11,Yes,NA,No,Richard
Minya,2026-04-27,Maybe,Library books,NA,Alex
Pediatorkope,2026-04-27,No,NA,NA,Alex
Alorkpem Island,2026-04-27,No,NA,NA,Alex
Adenya,2026-04-23,Yes,Computers,NA,Alex
Pediatorkope,2026-03-02,No,NA,NA,Alex
Mamakrom,2026-01-22,No,NA,NA,Alex
Old Konkompe,2025-10-14,No,NA,NA,Richard
Watro (Watroso),2025-10-14,No,NA,NA,Richard
Mosipanin,2025-10-07,No,NA,NA,Richard
Tun Tun,2025-10-07,No,NA,NA,Richard
Bahankra,2025-10-06,Yes,NA,NA,Isaac
Domase,2025-10-06,Yes,NA,NA,Richard
Wenamda,2025-10-06,No,NA,NA,Richard
Abrenya,2025-10-02,Yes,NA,NA,Richard
Mansokwa,2025-09-29,No,NA,NA,Richard
Wekpeti Abresu,2025-09-24,Yes,NA,NA,Richard
Ekorso Akwadum,2025-09-24,Yes,NA,NA,Richard
Attabui,2025-09-23,Maybe,NA,NA,Alex
Bepotumtum,2025-09-18,No,NA,NA,Richard
Wurudu Wurudu,2025-09-18,Maybe,NA,NA,Alex
Amuyaokope,2025-09-17,Yes,NA,NA,Alex
Terhey,2025-09-17,Yes,NA,NA,Alex
Madavunu,2025-09-17,Yes,NA,NA,Alex
Luta,2025-09-17,Yes,NA,NA,Alex
Wurudu Wurudu,2024-10-15,Yes,NA,NA,"Richard, Alex"
